	"salary"	"age"	"elevel"	"car"	"zipcode"	"credit"	"predictedBrand"
"1"	110499.7354	54	3	15	4	354724.1825	"Acer"
"2"	140893.7791	44	4	20	7	395015.339	"Sony"
"3"	119159.6517	49	2	1	3	122025.0852	"Acer"
"4"	20000	56	0	9	1	99629.62146	"Sony"
"5"	93956.32049	59	1	15	1	458679.8262	"Acer"
"6"	41365.43328	71	2	7	2	216839.7152	"Acer"
"7"	94805.61113	32	1	17	1	233216.0707	"Acer"
"8"	34410.6276	33	4	17	0	450707.3812	"Sony"
"9"	128298.8212	32	1	19	2	20768.06415	"Sony"
"10"	100806.9209	58	2	8	4	293106.6546	"Acer"
"11"	49863.40964	22	1	12	1	156086.6867	"Acer"
"12"	94554.18804	47	4	12	2	100467.99	"Acer"
"13"	79637.65823	41	2	1	3	387564.5476	"Acer"
"14"	87085.57895	40	4	9	2	458378.0004	"Acer"
"15"	126945.6663	62	3	4	4	211178.9014	"Sony"
"16"	29080.92083	58	1	13	3	29965.97517	"Sony"
"17"	147561.7258	28	4	6	8	322196.3147	"Sony"
"18"	72346.05201	37	3	15	8	403166.447	"Acer"
"19"	52129.77195	44	3	9	6	73639.45893	"Sony"
"20"	35640.04161	57	3	10	8	91722.42434	"Sony"
"21"	100868.9066	39	0	5	2	300078.3626	"Acer"
"22"	98780.08068	77	1	12	6	139597.9537	"Sony"
"23"	140685.8197	73	2	8	1	185189.3088	"Sony"
"24"	109305.1954	31	2	17	0	166310.2379	"Sony"
"25"	117212.3783	30	3	6	7	260175.807	"Sony"
"26"	41430.31861	53	2	10	5	7023.300616	"Sony"
"27"	56118.04644	69	4	2	8	41596.72091	"Acer"
"28"	79203.78449	75	2	4	0	461032.0939	"Sony"
"29"	136189.4317	56	0	12	6	152598.1311	"Sony"
"30"	67249.51459	30	2	11	6	455241.0776	"Acer"
"31"	22854.2421	72	2	6	1	321523.4878	"Acer"
"32"	30211.41075	41	0	19	4	481293.5213	"Sony"
"33"	116690.5653	50	2	10	1	199885.5631	"Acer"
"34"	94375.87719	27	3	18	4	403469.11	"Acer"
"35"	91129.12641	75	3	10	6	328625.351	"Sony"
"36"	94446.2489	67	3	8	5	352264.6121	"Sony"
"37"	83858.10407	20	4	5	8	51211.42228	"Acer"
"38"	49898.09807	72	4	12	6	484565.2146	"Acer"
"39"	27323.5208	30	0	17	8	233145.8521	"Sony"
"40"	73249.47943	27	0	2	1	49875.72997	"Acer"
"41"	40408.25989	54	2	14	0	437909.3552	"Sony"
"42"	48225.18379	25	4	6	3	179703.2016	"Sony"
"43"	45520.00972	33	1	14	2	138640.2199	"Sony"
"44"	30372.27565	80	0	5	3	481605.8996	"Acer"
"45"	33167.37542	26	1	18	6	475809.1777	"Sony"
"46"	55260.32748	59	2	7	6	450971.8521	"Sony"
"47"	100862.5066	77	3	14	7	135444.8306	"Sony"
"48"	33926.48622	42	1	15	5	338957.7912	"Sony"
"49"	34547.10556	69	4	15	8	178745.3287	"Acer"
"50"	50400.92157	46	2	11	5	155881.1573	"Sony"
"51"	36771.82483	66	0	15	3	285592.9044	"Acer"
"52"	57293.90047	61	3	2	7	254309.3692	"Acer"
"53"	103162.1155	22	0	11	6	20154.04327	"Sony"
"54"	84321.91334	40	4	7	7	240352.3575	"Acer"
"55"	44978.93098	51	3	8	2	30226.27318	"Sony"
"56"	33261.0419	74	1	2	2	441965.5178	"Acer"
"57"	138174.402	24	1	19	7	34065.70539	"Sony"
"58"	146356.9425	74	2	10	5	344798.6671	"Sony"
"59"	99339.7986	34	0	9	2	6024.31096	"Sony"
"60"	71182.20266	63	0	6	5	66611.49486	"Acer"
"61"	71550.5906	31	1	14	0	160777.2432	"Acer"
"62"	86560.86808	55	3	8	7	381447.6931	"Acer"
"63"	95906.64061	44	3	16	4	470045.167	"Acer"
"64"	79439.6358	27	4	6	7	464938.9837	"Acer"
"65"	39651.73721	76	1	5	6	327289.4095	"Acer"
"66"	41118.99813	25	4	6	1	90189.79818	"Sony"
"67"	93839.26542	70	2	9	3	332445.9659	"Sony"
"68"	113076.8079	45	3	16	1	365643.4332	"Acer"
"69"	32036.68512	25	3	4	3	74054.9112	"Sony"
"70"	20000	68	0	3	0	213894.2584	"Sony"
"71"	39392.14635	30	2	8	2	266690.8952	"Sony"
"72"	112852.7192	48	4	14	8	407602.7403	"Acer"
"73"	38512.89603	48	1	10	3	0	"Sony"
"74"	44428.60558	32	3	10	8	192674.5249	"Sony"
"75"	126738.6976	28	2	20	8	149647.004	"Sony"
"76"	136683.3775	24	1	8	4	212461.5516	"Sony"
"77"	53883.25098	54	4	11	5	89236.34933	"Sony"
"78"	133290.5005	72	1	9	3	478544.7558	"Sony"
"79"	123095.006	53	4	18	0	205545.717	"Acer"
"80"	41013.26647	77	4	3	1	246458.9741	"Acer"
"81"	39800.44122	63	0	3	0	147013.5681	"Acer"
"82"	53983.93486	29	3	4	7	237006.2524	"Acer"
"83"	54807.82635	47	4	16	5	348471.2441	"Sony"
"84"	140563.9731	45	2	16	7	343021.3822	"Sony"
"85"	123345.4825	63	1	19	3	141085.0409	"Sony"
"86"	74953.43325	63	2	4	0	270405.0392	"Acer"
"87"	23157.49676	73	0	9	0	104250.3463	"Acer"
"88"	142358.2568	35	3	14	3	248291.2584	"Sony"
"89"	119209.328	76	3	11	3	35347.59756	"Sony"
"90"	122807.9438	62	0	6	8	172104.291	"Sony"
"91"	48938.46071	65	1	8	6	431340.423	"Acer"
"92"	20000	30	2	2	6	218843.651	"Sony"
"93"	76509.60173	48	1	14	2	337054.1622	"Acer"
"94"	20000	51	4	3	0	470921.4124	"Sony"
"95"	64910.68396	47	3	12	2	256440.2599	"Sony"
"96"	38812.22676	75	1	18	6	310480.0227	"Acer"
"97"	69277.56094	20	2	1	4	93838.18629	"Acer"
"98"	141497.9248	65	2	12	1	406525.6569	"Sony"
"99"	140088.8312	64	4	4	8	281727.2777	"Sony"
"100"	34934.23067	46	1	10	1	461915.6023	"Sony"
